age,income,loan_amount,credit_score,employment_years,previous_defaults,debt_to_income_ratio,loan_status
59,24018,16536,842,0,2,0.67,1
49,31302,33541,847,16,2,0.3,1
35,87506,18547,707,2,3,0.19,1
63,61157,39531,713,25,4,0.41,1
28,74917,13712,641,14,1,0.55,1
41,112738,43565,519,3,0,0.37,1
59,116646,14208,462,3,0,0.14,1
39,103122,10109,519,17,4,0.52,1
43,44519,40201,569,16,3,0.73,1
31,116809,21967,699,18,3,0.37,1
31,107487,34759,481,10,4,0.25,1
44,76819,25172,504,19,3,0.41,1
56,100910,41935,527,2,0,0.13,1
60,140430,31589,549,7,0,0.67,1
44,91324,35015,740,13,1,0.68,1
23,25408,34009,832,25,4,0.51,1
42,79379,22773,495,0,2,0.35,1
22,45053,46125,818,13,2,0.66,1
44,29446,31143,369,1,1,0.49,1
64,20922,11154,698,28,1,0.68,1
50,118723,26804,502,22,3,0.54,1
58,71356,46688,447,3,1,0.65,1
22,30789,25581,771,23,1,0.52,1
41,117720,35087,498,26,2,0.39,1
53,86656,37981,725,28,3,0.77,1
32,64028,8762,791,18,1,0.48,0
42,84484,14768,441,5,1,0.52,1
64,52154,48408,612,24,3,0.25,1
45,102870,44499,464,0,4,0.54,1
47,22336,43559,613,16,3,0.5,1
62,123677,13783,320,7,2,0.23,1
48,87779,34781,381,18,4,0.14,1
36,39029,35811,430,20,0,0.52,1
35,79201,40488,604,0,3,0.63,1
64,52265,13905,670,4,2,0.47,1
23,122916,14127,683,26,4,0.26,1
57,132250,27431,744,15,3,0.57,1
27,136553,11368,724,5,1,0.16,0
41,63872,32424,460,7,3,0.41,1
29,66197,23333,477,12,0,0.21,1
59,145733,28116,789,15,3,0.23,1
38,75180,48201,626,29,4,0.24,1
24,43710,20525,588,2,4,0.37,1
45,49486,28398,653,18,3,0.14,1
34,91907,37857,327,11,4,0.38,1
29,148876,15361,342,15,1,0.46,1
46,91895,21369,722,26,3,0.44,1
22,84435,8041,476,10,1,0.37,1
40,60631,5105,828,9,1,0.69,1
48,149038,14078,793,24,2,0.2,1
27,121532,30003,497,19,3,0.45,1
64,40103,11090,816,3,4,0.14,1
28,84772,43850,813,11,1,0.15,0
55,146108,6925,321,22,2,0.5,1
34,34382,23440,411,1,3,0.5,1
37,104291,44685,356,23,3,0.71,1
56,121195,31015,365,21,0,0.49,1
60,23756,38320,397,18,0,0.77,1
24,40609,30291,443,24,1,0.13,1
22,134074,41679,734,4,0,0.17,0
26,36478,31289,385,7,1,0.13,1
62,120978,8389,643,6,4,0.23,1
24,59666,30683,593,13,1,0.48,1
49,95683,18629,542,23,0,0.55,1
38,119097,29826,331,22,4,0.13,1
46,144714,40198,690,2,0,0.76,1
64,120420,31630,576,17,1,0.69,1
54,91315,38226,831,15,2,0.31,1
30,97834,37975,453,22,3,0.15,1
56,146205,5899,682,18,0,0.22,0
34,34153,16653,367,18,1,0.19,1
51,129415,32961,513,17,4,0.19,1
35,96325,21405,675,19,0,0.46,0
28,129701,13601,512,15,0,0.27,1
34,32999,38662,378,7,3,0.35,1
43,75318,38282,680,27,1,0.79,1
60,20814,26288,357,0,2,0.58,1
41,135033,34545,325,16,4,0.76,1
36,96077,41877,746,11,1,0.2,0
38,110474,20313,365,29,4,0.37,1
44,22443,20349,553,20,0,0.49,1
46,95993,12179,343,10,3,0.15,1
45,95916,15326,396,4,3,0.1,1
61,93319,49555,526,26,2,0.57,1
49,145885,6560,735,11,3,0.55,1
35,129777,18612,678,16,0,0.39,0
21,37368,22650,477,5,2,0.44,1
45,35328,31745,726,0,1,0.39,0
27,76942,36890,606,4,3,0.12,1
29,111751,25022,803,24,2,0.33,1
44,119131,9780,567,27,0,0.22,1
21,47306,23311,307,13,4,0.17,1
64,105451,33380,807,4,4,0.77,1
28,59915,49662,775,21,0,0.52,1
44,57219,7356,596,23,0,0.61,1
31,100879,9790,463,26,4,0.32,1
37,131939,31911,784,0,2,0.38,1
28,84644,29363,371,29,4,0.27,1
55,80279,25049,537,17,0,0.17,1
55,73028,15181,403,15,3,0.23,1
53,124263,44825,509,8,1,0.66,1
25,20126,21082,767,18,3,0.57,1
62,72329,5661,753,21,3,0.48,1
59,47632,42412,567,4,0,0.43,1
61,127099,7920,685,26,4,0.75,1
48,85310,30658,686,1,2,0.15,1
27,129945,19025,558,29,3,0.3,1
29,75176,13946,582,14,4,0.34,1
28,139797,33706,339,6,2,0.65,1
32,106066,44004,785,3,3,0.79,1
54,125500,21309,519,0,2,0.27,1
53,146413,38120,428,12,4,0.71,1
43,64327,35027,819,19,1,0.68,1
44,88904,12005,559,21,4,0.26,1
57,23797,5956,665,6,0,0.38,0
55,67882,39839,843,14,2,0.39,1
64,33718,13595,823,22,1,0.78,1
60,54560,17803,315,13,2,0.23,1
42,96589,30963,428,22,2,0.66,1
47,42116,41221,408,18,3,0.33,1
55,56244,44443,832,21,0,0.61,1
21,121721,38723,568,28,2,0.39,1
55,21645,44063,461,23,4,0.5,1
57,67523,20282,559,19,4,0.68,1
34,144085,9703,401,28,3,0.66,1
23,137718,11563,805,23,0,0.71,1
21,39256,30849,546,17,0,0.14,1
25,121376,36860,836,9,4,0.58,1
46,120158,36585,430,8,1,0.2,1
34,73173,27015,652,24,3,0.39,1
59,57430,17003,495,7,3,0.48,1
47,59282,48585,681,25,4,0.38,1
29,139719,31958,526,29,4,0.46,1
35,83374,31017,775,28,1,0.8,1
35,88244,16171,776,9,1,0.19,0
46,31694,17201,564,16,0,0.57,1
62,76264,34426,671,1,3,0.38,1
33,95060,22778,785,5,3,0.19,1
52,117416,47229,733,25,4,0.21,1
59,77545,26116,510,4,0,0.76,1
52,138195,38297,676,27,3,0.72,1
24,59224,24342,694,29,0,0.73,1
50,122516,32490,749,8,0,0.79,1
57,117945,24975,663,4,4,0.25,1
43,33224,31723,756,17,0,0.35,0
59,60738,28279,525,25,1,0.57,1
35,45150,17765,430,19,1,0.44,1
63,83731,16561,775,8,2,0.39,1
49,69688,46899,576,16,4,0.35,1
56,119929,5525,455,26,2,0.52,1
33,128618,27861,517,16,1,0.5,1
52,93509,38142,489,11,2,0.21,1
27,28577,31916,716,6,4,0.43,1
42,28070,49965,845,26,4,0.49,1
48,146161,9648,340,2,0,0.5,1
22,28666,40133,606,9,3,0.25,1
62,77761,35523,637,1,0,0.62,1
